DJI_20211224092312_0125.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
0.000454164, 0.0171034, 0.0116149, 0.00591215, -0.00817625, 0.00994032, 0.00685926, 0.0153071, -0.0372113, 0.0187774, 0.00156951, -0.246689, -0.104666, 1
DJI_20211224092324_0133.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0266837, -0.0874666, 0.997765, 0.00388806, -0.00670709, -0.00161124
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, 0.00038174, 0.0180954, -0.121396, -0.00474478, 0.48988, 0.0146473
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.015134, -0.0261347, 0.24272, 0.424127, -0.0120352, 0.0199871
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00638571, 0.0231805, -0.272742, 0.00223002, -0.0105569, 0.004499
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, -0.00049412, -0.00148492, 0.0279541, -0.00210567, 0.0165716, -0.00583464
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00226111, 0.0120235, -0.150952, -0.000179505, -0.017564, 0.00760254
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.0091192, -0.00101966, 0.0375437, 0.413117, -0.0118271, 0.0155895
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00292602, 0.0159185, -0.0773707, -0.00193523, 0.454793, 0.0129927
0.0266837, 0.00038174, 0.015134, -0.00638571, -0.00049412, -0.00226111, 0.0091192, -0.00292602, 1, -0.031867, 0.0345134, -0.341545, -0.674691, -0.0320082
-0.0874666, 0.0180954, -0.0261347, 0.0231805, -0.00148492, 0.0120235, -0.00101966, 0.0159185, -0.031867, 1, -0.0811299, 0.703448, -0.298263, 0.0338359
0.997765, -0.121396, 0.24272, -0.272742, 0.0279541, -0.150952, 0.0375437, -0.0773707, 0.0345134, -0.0811299, 1, 0.00732521, -0.0233759, -0.00123233
0.00388806, -0.00474478, 0.424127, 0.00223002, -0.00210567, -0.000179505, 0.413117, -0.00193523, -0.341545, 0.703448, 0.00732521, 1, 0.0146355, -0.234932
-0.00670709, 0.48988, -0.0120352, -0.0105569, 0.0165716, -0.017564, -0.0118271, 0.454793, -0.674691, -0.298263, -0.0233759, 0.0146355, 1, -0.0814401
-0.00161124, 0.0146473, 0.0199871, 0.004499, -0.00583464, 0.00760254, 0.0155895, 0.0129927, -0.0320082, 0.0338359, -0.00123233, -0.234932, -0.0814401, 1
DJI_20211224092325_0134.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0268133, -0.0889162, 0.997891, 0.00932529, -0.0088686, -0.00665448
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00154, 0.0167772, -0.12154, -0.00691603, 0.504542, 0.0222493
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.0147431, -0.0281313, 0.242604, 0.429773, -0.00999758, 0.0267785
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00546139, 0.0210071, -0.272991, -0.00110416, -0.00936337, 0.00525309
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, -0.00129888, 0.00200693, 0.0281712, 0.000423119, 0.0152467, -0.00531346
