DJI_20211224092312_0125 H_34.99999_23.32763
5195 -6.99043 4.15952
5196 -10.33182 6.34287
5197 -8.75629 5.12167
5198 -14.36910 3.78215
5200 -13.54371 3.59513
5204 -7.38007 2.73586
5205 -4.09152 4.80394
5590 -3.33920 2.98142
5595 -2.48834 0.02106
5596 -17.07854 1.93978
5702 1.17580 -3.95494
5703 16.42071 -5.83407
5704 -1.94936 -3.65701
5705 0.83392 -4.65192
5706 8.47032 1.29544
5707 5.29672 -5.20414
5708 10.63867 -5.89626
5709 10.30392 -6.66045
5710 -2.04542 -3.05454
5711 -2.04658 -6.85406
5712 -1.89940 -4.82620
5713 10.47945 -3.97454
5714 5.90829 -3.04632
5715 11.04880 -8.11562
5716 1.03968 -3.76926
5717 5.21724 -4.15992
5719 10.46797 -3.26073
5720 8.64963 -5.53598
5721 10.71340 -9.63522
5727 17.28951 -8.12526
5728 13.90773 -7.68544
6856 5.48761 0.39169
6858 11.31987 -6.45249
6859 8.55422 0.70926
6860 8.64593 -2.25016
6861 14.68781 -0.84980
6862 5.26920 0.22809
6863 3.74859 1.36352
6864 5.74123 0.85460
6865 16.86567 -5.66082
6866 12.77123 -5.89143
6867 16.59812 -5.18878
6868 10.70357 -6.89975
6875 14.21259 -2.36192
6876 10.68640 -4.99038
6877 12.60690 -4.26749
6878 15.00708 -3.15158
6879 13.85942 -3.91101
6880 15.07450 -4.80518
6881 10.83277 -3.14128
6882 10.65820 -3.29119
6883 17.22767 -4.36815
6884 12.81166 -3.73701
6889 -4.09408 10.62857
6890 10.09623 2.82355
6892 2.08412 3.28695
6893 -2.64085 3.42698
6894 2.23622 5.87868
6895 5.98488 4.85727
6896 -3.69713 5.57797
6897 5.64766 5.70412
6898 5.42349 5.85206
6899 2.69046 2.76150
6900 5.76508 2.80763
6901 7.74864 6.45797
6902 2.28596 2.67793
6903 10.71480 -1.74085
6904 10.41938 0.28769
6905 14.02871 -1.61514
6906 10.91772 -0.92404
6907 10.30047 1.40706
7112 10.90481 11.07298
7113 10.85185 10.29291
7114 15.40857 10.70417
7115 14.92231 9.65568
7177 -3.19952 11.44626
7178 -3.82716 10.65342
7179 -3.18534 10.37414
7180 4.07739 11.21167
7181 -3.97529 11.46624
7182 2.36624 11.35243
7188 10.80862 6.70103
7189 10.77020 6.81204
7190 10.74490 5.76257
7191 14.20041 8.26976
7192 14.10515 7.42131
7204 -2.69594 6.20193
7205 1.06020 6.41649
7206 14.23801 3.05417
7207 10.77847 2.44229
7208 -3.19811 5.68414
7209 -3.00398 6.58138
7210 3.41169 6.51463
7211 13.91280 2.91301
7212 14.69008 3.58513
7213 -0.10842 6.82857
7214 1.13748 7.97092
7215 2.67918 9.73924
7216 5.68927 9.77863
7217 -3.86425 8.11346
7218 8.69166 9.06483
7219 14.34528 -0.19475
7220 17.08152 0.99735
7221 14.05067 1.10303
7222 10.44785 1.80996
7223 13.71624 0.09082
7531 10.54221 -6.90975
7532 -9.57671 -2.33209
7533 10.31004 3.09954
7534 -3.73231 5.48604
8932 -16.34691 -8.08173
8935 -14.85898 -8.77904
8936 -13.19858 -8.18774
8937 -12.74079 -10.16365
8938 -13.52542 -9.98481
8939 -13.53528 -11.26212
8945 -6.96345 -8.46685
8947 -15.10065 -10.24134
8949 -11.63893 -11.40629
8951 12.84580 -9.76454
8952 -7.43812 -10.24194
8953 -4.49678 -7.95604
8957 -7.40122 -11.26717
8958 3.09548 -8.24070
11387 3.58939 -10.18387
14578 10.46270 7.74649
-99
DJI_20211224092318_0129 H_34.99999_23.32763
4642 -10.39291 -9.25500
4643 -11.46973 -9.69045
4644 -16.27748 -11.30695
4654 -4.10095 -11.00704
4655 -11.83891 -8.19299
4656 -14.80088 -8.45225
4657 3.16070 -9.45447
4658 -6.98455 -11.08368
4659 -15.70553 -9.83284
4660 -11.90837 -8.45755
4661 1.51389 -7.55141
4662 -4.92231 -7.37756
4664 -16.40696 -10.64560
4665 -7.38518 -8.54800
4666 -3.18692 -9.65823
5007 -15.93906 6.04765
5014 -4.95633 6.85236
5015 -12.35873 6.28898
5016 -13.06449 5.19025
5017 -9.24277 4.85790
5018 -6.41387 5.78779
5019 -16.76166 5.69717
5020 -16.43470 3.63292
5021 -11.51111 3.04706
5022 -15.44416 2.87227
5023 -4.80215 2.96729
5024 -7.81402 3.14851
5025 15.42618 -0.68523
5029 -16.06654 -5.69731
5030 0.77719 -3.26499
5031 -2.49485 -3.88890
5032 -4.98717 -6.07410
5033 -3.95047 -4.52067
5034 1.23921 -3.77717
5036 -10.80022 -5.48560
5037 -9.35080 -3.35493
5038 -11.91056 -4.28883
5039 -12.20882 -3.27672
5041 -14.10444 -6.68088
5042 -14.89807 -6.74641
5043 -10.27534 -6.62145
5044 -10.58574 -6.74353
5045 -1.07599 -10.78960
5046 -10.04463 -6.81801
5052 -8.92453 8.74863
5053 -7.13532 9.43934
5054 -7.78011 7.84274
5055 -5.59181 11.56035
5063 -12.97694 10.36348
5064 -11.36013 10.05306
5069 -10.91175 10.66954
5070 -12.40457 8.09240
5158 -8.82329 10.02769
5178 -14.30474 8.22652
5179 -16.45217 10.00726
5180 -7.89976 11.49525
5195 -6.76992 -0.30013
5196 -10.12530 1.91300
5197 -8.54698 0.68164
5198 -14.15892 -0.68391
5200 -13.32994 -0.90062
5204 -7.16018 -1.72401
5205 -3.87738 0.34725
5590 -3.10492 -1.49618
5595 -2.26299 -4.56616
5596 -16.86645 -2.36220
5702 1.38899 -8.42491
5703 16.56926 -10.17812
5704 -1.72798 -8.16766
5705 1.04526 -9.13477
5706 8.68410 -3.17246
5707 5.49673 -9.64009
5708 10.82155 -10.30543
5709 10.48519 -11.06889
5711 -1.83035 -11.16586
5713 10.67548 -8.40088
5714 6.11448 -7.50188
5716 1.26302 -8.22725
5717 5.42665 -8.60091
5719 10.66463 -7.69653
6855 -4.02421 7.84530
6856 5.70887 -4.06954
6858 11.48575 -10.81954
6859 8.76845 -3.75585
6860 8.85113 -6.69580
6861 14.88033 -5.24209
6862 5.48244 -4.22401
6863 3.96889 -3.10344
6864 5.95899 -3.60592
6865 17.00842 -9.99769
6866 12.94461 -10.29204
6867 16.74851 -9.52144
6868 10.87963 -11.29867
6875 14.39697 -6.74873
6876 10.87299 -9.40691
6877 12.79049 -8.68283
6878 15.18217 -7.52482
6879 14.03539 -8.28073
6880 15.23631 -9.16338
6881 11.02631 -7.56857
6882 10.85134 -7.71008
6889 -3.88433 6.21137
6890 10.32166 -1.62679
6891 7.97730 1.23648
6892 2.30455 -1.17761
6893 -2.42493 -1.03465
6894 2.46150 1.42390
6895 6.21076 0.40014
6896 -3.47986 1.12271
6897 5.87533 1.24846
6898 5.65909 1.39663
6899 2.91072 -1.71316
6900 5.98750 -1.65121
6901 7.98222 2.00660
6902 2.50857 -1.80175
6903 10.91608 -6.17639
6904 10.62939 -4.15652
6905 14.22223 -6.00429
6906 11.12142 -5.36227
6907 10.51630 -3.04032
7066 15.26933 9.49752
7067 16.31786 10.77552
7068 16.78145 9.72541
7069 11.24096 11.04806
7100 13.66656 9.98034
7101 14.95233 10.99230
7102 13.08234 10.32809
7103 13.62438 9.56000
7112 11.16231 6.67896
7113 11.10446 5.89322
7114 15.68624 6.36782
7115 15.18578 5.30356
7140 3.76034 11.43070
7141 3.15858 11.26179
7142 -2.36519 11.19874
7143 -2.23783 11.24752
7144 2.92110 11.38105
7145 -4.02066 11.17099
7174 3.17221 8.21181
7175 7.60825 8.47774
7176 2.72622 9.87069
7177 -2.98571 7.03735
7178 -3.61696 6.22436
7179 -2.97131 5.95555
7180 4.31275 6.80021
7181 -3.76676 7.06049
7182 2.59717 6.93768
7183 8.03096 10.70383
7184 0.88804 7.66375
7185 -3.08183 10.14962
7186 -3.72528 8.90067
7187 8.09224 8.13844
7188 11.04506 2.27489
7189 11.00676 2.38033
7190 10.97918 1.32887
7191 14.45083 3.89911
7192 14.35217 3.04610
7193 15.45282 3.09117
7204 -2.48364 1.74642
7205 1.28366 1.96211
7206 14.45967 -1.34197
7207 10.99839 -2.00020
