8back01053 H_25.39998_16.93332
7317 -4.54390 -2.21304
7318 -8.01778 -2.71844
7319 -9.93089 -2.28847
7320 5.19816 7.05958
7321 6.35186 -2.10464
7322 -4.53480 7.34829
7323 5.56417 2.47824
7324 -2.97948 3.35588
7325 -4.41536 3.27152
7326 -3.37342 8.16835
7327 -11.18239 -6.51760
7328 4.29280 5.68449
7329 1.85258 -3.88621
7330 3.41855 7.12996
7331 8.25726 0.40440
7332 6.49275 7.87553
7333 3.28137 1.50873
7473 -3.30412 0.47736
7474 11.50518 1.02007
7475 7.13034 7.27818
7476 7.75661 0.71438
7477 7.46559 -5.02996
7478 10.33493 -0.90506
7480 -3.45580 0.38117
7482 10.78644 2.79448
7483 10.04340 -4.83142
7484 8.75571 0.15843
7485 8.37092 1.51617
7486 12.54338 6.55798
7487 7.41316 4.13051
7489 -3.98559 -5.55963
7490 4.44167 5.93713
7491 1.24945 5.03518
7492 -3.56390 -6.63220
7494 -4.81012 4.00862
7495 -4.06711 2.07932
7496 4.33391 3.14212
7497 5.68488 4.00500
7498 -3.66590 4.98490
7499 1.01270 -2.91544
29589 -2.52683 6.45801
-99
8back01055 H_25.39998_16.93332
7014 4.73703 -6.22747
7030 7.59875 2.70391
7037 -9.71760 -0.41304
7038 4.59899 -6.05359
7041 -3.97642 -5.27541
7045 -3.26434 -0.75417
7046 4.40006 0.18922
7048 5.70951 -4.29692
7052 9.11245 -0.29287
7061 -10.73427 4.42443
7062 -5.11198 3.51269
7064 -0.25702 2.85590
7065 -3.13786 -2.74062
7066 10.11001 4.17312
7068 0.60638 1.44573
7069 -0.77380 3.67386
7071 0.75541 -4.25460
7073 1.35309 -0.62216
7074 0.17479 -6.99207
7075 3.76352 2.97300
7078 0.98195 -3.17036
7079 7.66015 -5.68750
7080 -4.52824 1.72980
7081 2.89698 3.82504
7082 -0.82124 -5.44538
7083 -9.68825 3.05814
7343 10.03088 -5.43872
7344 -4.06170 -5.17139
7347 -0.44966 -3.09256
7348 -4.14582 3.86930
7349 2.74738 -5.71367
7350 10.30346 1.85512
7351 -5.75463 -1.36956
7353 -0.06122 5.05096
7354 -2.06499 -0.37298
7355 4.61778 -3.06451
7356 -11.20129 2.53605
7357 9.14395 2.13734
7358 -8.13746 5.07629
7359 6.15840 -1.50780
7360 0.52354 2.85080
7361 3.95948 5.34594
7362 6.02034 0.55584
7368 -10.46278 -6.41494
7503 11.19324 -4.50118
7504 5.55700 -6.13065
7505 -11.85039 2.31789
7507 7.78663 -6.38475
7508 10.34085 -6.80828
7510 8.48865 -3.60257
7515 -6.56098 6.54957
7516 -7.70375 7.05871
7517 -2.77831 -3.15455
7518 -3.67958 -5.39938
7519 -3.38641 8.06614
-99
8down01055 H_25.39998_16.93332
1146 11.59822 6.78069
2156 11.28361 2.44403
2604 5.79191 5.69124
2837 1.41419 -0.11396
4814 10.03947 1.68648
4844 11.94458 1.39055
4941 5.73613 6.09910
5164 -10.70303 3.84002
5165 -12.35638 4.36501
5166 -11.11201 5.96179
5168 -10.51320 2.57979
5169 -9.60858 0.84052
5174 5.41597 3.41702
5175 -8.69343 5.02932
5176 4.97997 6.65461
5190 -11.56747 1.45239
5194 -11.49595 0.09568
5195 8.08080 0.94347
5202 -7.79763 -1.39245
5205 -9.46759 -0.95867
5208 -7.29329 -1.06880
5209 -4.31374 -0.81706
5216 -11.89595 -1.60593
5219 6.46715 2.94806
5220 -7.17663 1.47332
5221 -4.56548 6.72077
5222 3.91479 2.18691
5223 2.38499 0.38082
5224 -9.42652 2.13187
5225 -12.08336 6.14547
5234 -3.52605 -3.59152
5235 -9.66543 -2.61144
5239 8.00366 -5.31772
5240 -6.25419 -3.55833
5241 -5.26383 -1.56934
5242 -3.75239 -4.79856
5243 -5.25220 -5.21767
5247 -1.77389 -0.25860
5249 -9.82242 -4.91771
5250 -11.00834 -3.69718
5251 -1.65918 -4.88595
5252 -7.34545 -4.35757
5253 2.67644 -2.12377
5255 -9.36132 -5.35055
5257 -7.32520 1.48248
5258 -8.73319 4.57148
5261 11.52283 -1.31909
5264 -2.51087 -0.12371
5265 -3.72398 1.43280
5266 4.96604 3.79049
5267 -1.48620 2.63167
5269 -7.34895 5.73773
5270 -4.97187 4.55230
5273 11.20714 -1.90790
5276 -7.57720 6.15878
5277 4.31346 -6.86370
5278 7.30839 -4.58219
5282 -2.62228 -7.26450
5285 -1.58783 -7.55630
5286 1.07401 -0.25938
5288 -5.97294 1.27994
5290 10.02870 -7.05683
5292 -2.72464 0.54189
5296 2.66095 -7.13077
5297 11.05035 -4.52851
5298 -7.96201 -6.09519
5300 8.00845 -7.09019
5301 0.15066 1.38801
5304 -11.33708 -5.22158
5307 -6.57060 4.11828
5310 7.07144 0.94758
5312 -2.93601 4.22155
5313 2.41218 3.76236
5511 -0.52784 -2.64974
5513 -3.17888 -0.18809
5514 1.36889 -0.79727
5515 11.45288 -2.65465
5516 -1.38952 -2.51940
5520 -0.14101 1.74720
5525 7.68475 1.65713
5526 -2.31274 -7.09754
5527 3.25735 -5.70147
5529 0.30317 -7.82226
5530 7.55030 -4.73282
5534 5.30817 3.57807
5537 -1.09560 -5.25850
5538 -2.03187 -3.93525
5543 12.04331 -1.47938
5546 3.71965 5.14576
5548 -5.09118 2.74277
5558 7.85234 7.99199
5567 6.68358 -2.62158
5569 2.09112 -3.50072
5570 5.86860 -7.15360
5571 3.93422 -6.92955
5572 11.33340 -7.70348
5573 2.18796 -4.53601
5574 4.35289 -6.49778
5577 2.11852 -4.17509
5578 2.95097 -3.97602
5579 5.19199 -3.18786
5580 11.29251 2.31839
5582 5.81991 6.09571
5584 1.94001 -4.95301
5585 9.96481 -2.62028
5617 10.66055 -2.04696
5618 5.32450 -2.42728
5627 8.11397 -3.99482
5631 8.29836 -1.55926
5632 11.61524 0.66093
5706 5.52722 -3.20113
6304 0.72865 -4.94750
6305 11.10354 -5.56531
6437 9.97510 -7.70343
6444 8.92519 -2.38745
6452 11.96185 1.79232
6456 10.04467 -2.54431
6622 10.11410 1.42626
6636 8.99591 -7.93092
6642 10.43651 -7.89419
6674 10.09800 -0.56991
6732 5.82613 -3.19477
6735 9.95914 1.72777
6736 7.13329 -3.47800
6738 8.91773 -2.12778
6743 7.58047 -3.03671
6810 5.18870 -2.56378
6812 10.07782 -5.53185
7095 -2.06880 -2.82582
7096 2.89886 -3.11783
7098 2.94980 -0.56028
7099 6.67011 -7.47989
7520 0.92281 -4.33611
7522 11.70421 -4.69049
7523 -6.31942 7.14330
14429 -0.07885 -6.78429
24224 11.27003 -7.45019
29356 8.87434 0.06121
29359 -10.56324 -3.08449
29395 3.96646 -2.67450
29396 2.22051 -3.25760
29524 -8.46767 -0.34193
-99
8front01055 H_25.39998_16.93332
7110 2.81492 1.18794
7123 4.05597 1.23347
7128 2.00020 0.07548
7130 0.33028 2.98009
7134 -0.75644 0.44781
7136 10.73938 5.58826
7140 11.76064 5.47182
7146 11.45659 3.62264
7147 3.46775 -3.68895
7148 2.70950 -2.35333
7150 6.09144 -1.16581
7154 7.39060 2.49770
7160 10.90137 5.13834
7162 -1.75301 -1.44528
7163 4.29141 2.01687
7165 1.82381 -1.56361
7166 -3.36294 -0.47341
7167 10.29061 6.72788
7168 9.97392 7.03579
