imageName longitude latitude altitude Omega Phi Kappa
D0634.JPG 101.01683297 14.52137855 184.29640609 -22.26514607 41.22239054 122.42171331
S0634.JPG 101.01683278 14.52137898 184.27471928 -0.21791885 1.85072357 -156.56899002
W0634.JPG 101.01683322 14.52137916 184.29501495 -40.54768369 -15.39540140 -161.29319128
X0634.JPG 101.01683235 14.52137880 184.29820043 42.79284496 17.84107334 16.59927345
A0635.JPG 101.01670847 14.52156990 184.06960414 18.84147121 -39.68084924 -63.28796133
D0635.JPG 101.01670880 14.52156903 184.06732628 -19.41474882 43.21712553 119.04740588
S0635.JPG 101.01670863 14.52156947 184.04646693 0.48857697 2.81833301 -159.61857306
W0635.JPG 101.01670908 14.52156962 184.06613450 -40.38653803 -12.67764523 -163.02876308
X0635.JPG 101.01670819 14.52156931 184.07054479 44.26347011 16.45035787 13.58664224
A0636.JPG 101.01658632 14.52176316 183.82648444 21.59422906 -39.44912757 -60.91252328
D0636.JPG 101.01658667 14.52176230 183.82240898 -19.61254152 42.22468811 121.16588323
S0636.JPG 101.01658649 14.52176273 183.80245295 1.64528565 2.43642901 -157.81083315
W0636.JPG 101.01658693 14.52176290 183.82286649 -38.87986592 -14.14479620 -161.87734434
X0636.JPG 101.01658605 14.52176256 183.82578177 45.02452712 17.41860139 15.22933240
A0637.JPG 101.01646343 14.52195356 184.28959017 21.77502089 -39.11889331 -58.91031625
D0637.JPG 101.01646380 14.52195271 184.28749192 -21.92229482 41.42222152 122.99938432
S0637.JPG 101.01646360 14.52195313 184.26653207 0.49484017 2.19984374 -156.24281174
W0637.JPG 101.01646405 14.52195332 184.28679645 -39.69302042 -15.33963517 -160.80122369
X0637.JPG 101.01646318 14.52195295 184.29003379 43.51707694 18.31871747 16.59944886
A0638.JPG 101.01633870 14.52214306 183.96719667 23.03825525 -37.79900780 -58.86901372
D0638.JPG 101.01633908 14.52214221 183.96219534 -21.52979843 42.34706679 124.26505180
S0638.JPG 101.01633888 14.52214264 183.94272373 1.70737634 3.41777973 -155.73250718
W0638.JPG 101.01633932 14.52214282 183.96242318 -38.14020552 -14.73461728 -159.58610978
X0638.JPG 101.01633846 14.52214245 183.96672697 44.91256380 19.55616559 16.11280760
A0639.JPG 101.01621209 14.52233418 183.91667424 21.14586077 -38.14466678 -61.25557373
D0639.JPG 101.01621244 14.52233332 183.91209500 -20.45925167 43.37995046 122.06843893
S0639.JPG 101.01621225 14.52233376 183.89241655 1.40152448 3.75418077 -157.61917909
W0639.JPG 101.01621270 14.52233393 183.91164400 -38.86945523 -13.26525696 -160.84828143
X0639.JPG 101.01621183 14.52233358 183.91688204 45.04024634 18.50609867 14.42154223
A0640.JPG 101.01638894 14.52261058 184.23439455 -34.60932499 29.48528956 142.36142230
D0640.JPG 101.01638829 14.52261126 184.23117556 34.50604297 -31.91591921 -34.99247257
