x,y,z,sx,sy,sz
717628.43,1606174.15,12.82,0.0885,0.0749,0.3912
717600.09,1606172.84,5.57,0.0440,0.0819,0.5031
717622.16,1605966.13,6.35,0.1667,0.3025,0.3370
717449.30,1606263.90,14.46,0.1906,0.2888,0.3670
717423.36,1606521.27,16.69,0.2277,0.1157,0.6171
717775.32,1606236.80,17.67,0.0904,0.0729,0.9007
717606.79,1606177.68,5.93,0.0253,0.0190,0.1298
717690.49,1606339.37,16.67,0.1524,0.2236,0.7702
717587.47,1606280.23,18.70,0.1025,0.0243,0.2320
717764.13,1606234.37,17.46,0.0803,0.0855,1.0032
717700.19,1606350.03,15.29,0.0910,0.1285,0.3655
717592.60,1606284.92,19.69,0.0991,0.0197,0.2362
717656.06,1606168.03,11.99,0.0435,0.0276,0.1869
717617.58,1606195.01,17.46,0.0225,0.0222,0.2876
717645.11,1606177.99,14.24,0.0730,0.0502,0.3779
717621.76,1606212.87,16.39,0.0532,0.0282,0.2730
717633.44,1606163.43,15.86,0.0323,0.0238,0.1641
717620.99,1606275.27,19.17,0.0768,0.0385,0.3086
717607.10,1606303.24,13.50,0.1072,0.0353,0.3288
717596.14,1606266.15,20.07,0.1569,0.0673,0.3941
717619.74,1606313.96,7.60,0.1807,0.1112,0.7468
717642.14,1606185.89,14.07,0.0251,0.1015,0.2688
717375.89,1606418.10,5.09,0.0576,0.0781,0.2970
717303.58,1606337.16,0.89,0.0257,0.0199,0.0953
717742.70,1606320.63,19.84,0.0681,0.0543,0.3801
717343.58,1606350.83,3.77,0.0175,0.0174,0.0852
717437.98,1606379.78,1.90,0.1948,0.1952,0.7368
717375.81,1606390.08,16.61,0.0182,0.0142,0.0670
717361.87,1606428.56,14.67,0.0526,0.0184,0.1243
717558.20,1606006.90,4.44,0.1004,0.0794,0.4654
717413.35,1606359.73,17.65,0.0552,0.0630,0.2459
717592.70,1606186.46,17.67,0.0180,0.0299,0.2241
717776.84,1606326.97,18.82,0.1462,0.0801,0.4587
717782.94,1606318.42,23.76,0.0940,0.0348,0.2578
717347.64,1606274.43,1.29,0.0264,0.0253,0.1127
717357.94,1606259.58,1.89,0.0185,0.0205,0.0847
717349.02,1606274.08,2.07,0.0263,0.0241,0.1219
717407.08,1606299.83,0.24,0.0109,0.0099,0.0418
717358.52,1606413.18,4.03,0.3223,0.0588,0.7334
717352.53,1606367.98,9.80,0.0158,0.0145,0.0707
717474.30,1606201.24,11.82,0.0362,0.0292,0.1320
717475.62,1606129.34,1.32,0.0091,0.0090,0.0361
717483.87,1606140.94,1.72,0.0100,0.0099,0.0400
717481.55,1606132.68,1.53,0.0077,0.0075,0.0311
717472.04,1606129.54,1.18,0.0103,0.0102,0.0386
717473.62,1606118.98,1.48,0.0120,0.0113,0.0447
717598.64,1606164.95,8.77,0.0134,0.0130,0.0609
717470.58,1606119.15,1.31,0.0093,0.0084,0.0327
717497.66,1606130.67,2.22,0.0114,0.0113,0.0455
717456.45,1606236.67,15.04,0.0278,0.0174,0.1115
717472.63,1606138.14,1.14,0.0212,0.0206,0.0804
717468.76,1606221.73,13.98,0.0123,0.0127,0.0616
717475.02,1606141.23,1.17,0.0222,0.0213,0.0850
717474.63,1606109.43,1.38,0.0178,0.0159,0.0649
717458.77,1606137.16,1.01,0.0160,0.0148,0.0596
717464.40,1606132.83,0.93,0.0104,0.0095,0.0375
717460.03,1606140.98,0.99,0.0100,0.0097,0.0373
717466.03,1606126.84,1.17,0.0180,0.0177,0.0656
717460.03,1606140.98,0.98,0.0098,0.0098,0.0389
717587.33,1606154.64,10.58,0.0167,0.0131,0.0561
717467.78,1606126.06,1.18,0.0077,0.0076,0.0294
717473.99,1606147.19,1.15,0.0110,0.0108,0.0428
717475.43,1606146.57,1.11,0.0101,0.0099,0.0389
717461.34,1606122.89,0.93,0.0093,0.0094,0.0359
717457.50,1606135.12,0.95,0.0186,0.0167,0.0647
717473.99,1606450.74,12.47,0.1298,0.1344,0.9318
717370.28,1606058.28,1.19,0.6896,0.3689,0.7448
717508.84,1606161.64,16.15,0.0139,0.0148,0.0714
717407.08,1606079.56,1.12,0.1812,0.0988,0.2527
717555.71,1606180.87,9.21,0.0237,0.0163,0.0881
717515.86,1606167.62,15.74,0.0126,0.0126,0.0713
717373.76,1606071.59,0.85,0.4397,0.2075,0.4870
717355.94,1606388.23,8.19,0.0196,0.0209,0.1012
717683.30,1606248.04,6.02,0.3419,0.2549,0.3718
717374.07,1605926.35,2.97,0.2564,0.3128,0.4130
717616.86,1606238.10,5.82,0.6045,0.8106,1.1836
717415.72,1606085.53,1.28,0.1296,0.0669,0.1916
717417.19,1606441.43,5.03,0.1071,0.0862,0.4560
717485.89,1605974.93,3.76,0.0351,0.0570,0.1591
717392.78,1606470.79,2.81,0.0948,0.0220,0.2646
717345.66,1606370.42,9.20,0.0118,0.0126,0.0583
717362.16,1606318.88,1.74,0.0174,0.0179,0.0796
717589.31,1606263.90,17.77,0.1176,0.0347,0.3041
717628.64,1606144.81,7.91,0.0481,0.0195,0.2273
717834.25,1606234.76,32.14,0.2341,0.2273,0.8259
717758.31,1606215.89,25.17,0.0803,0.0523,0.3558
717467.91,1606149.41,0.99,0.0100,0.0098,0.0373
717458.58,1606143.70,0.77,0.0173,0.0164,0.0628
717500.53,1606125.40,2.27,0.0109,0.0109,0.0439
717605.09,1606147.40,14.20,0.0406,0.0426,0.2205
717450.35,1606169.40,0.45,0.0097,0.0092,0.0361
717447.56,1606168.83,0.29,0.0182,0.0166,0.0628
717530.43,1606009.23,3.61,0.0295,0.0434,0.1846
717581.67,1606188.66,6.46,0.0427,0.0341,0.1405
717555.57,1606194.07,13.09,0.0140,0.0112,0.0570
717541.25,1606296.66,3.57,0.1904,0.2672,0.3230
717570.85,1606317.85,3.97,0.5629,0.6930,0.7402
717632.03,1606199.56,16.89,0.0457,0.0255,0.1398
717606.73,1606204.66,16.50,0.0403,0.0332,0.1850
717601.68,1606182.03,16.39,0.0177,0.0217,0.0860
717621.88,1606222.18,7.10,0.0225,0.0186,0.1009
